term,estimate,std.error,statistic,p.value,dependent,Dependent_Variable,Window,Horizon,Retail_Flag
Item_2.01,4.209705809590676e-06,5.670520541777949e-06,0.7423843681678568,0.4578544886638913,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.02,7.987558487985996e-05,1.3783103618496782e-06,57.95181338742005,0.0,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.03,-3.263295054978194e-05,3.89126685919295e-06,-8.386202162590829,5.0210266846268116e-17,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.04,-3.1427058532613505e-05,2.3485359675438883e-05,-1.3381553004478826,0.1808458183780668,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.05,3.867784498411734e-05,1.0106240279310637e-05,3.827125015352952,0.0001296487148844562,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_2.06,2.213658373507187e-05,1.94267324043325e-05,1.1394908456213162,0.2544984856531629,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_3.01,3.832546898511099e-05,1.220850603839322e-05,3.1392431526499096,0.0016938485652629,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_3.02,7.886748550227063e-05,6.276742358999063e-06,12.565034693386307,3.2874081300514294e-36,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_3.03,7.908122248328439e-06,8.87166891213401e-06,0.8913905970400109,0.3727196614602627,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_4.01,-1.8449764070714497e-05,1.386639078995616e-05,-1.3305383030224571,0.1833409764736887,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_4.02,-2.1616059915747515e-05,1.9844405256030023e-05,-1.0892772868150908,0.276031626995241,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.01,1.3899464674529232e-05,2.400268391021528e-05,0.5790796032027806,0.5625354627173169,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.02,4.558490714435065e-06,1.9457536826945344e-06,2.342789200389609,0.0191401947653972,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.03,2.0934644455351826e-05,4.969829798778389e-06,4.212346358520703,2.5273172202291912e-05,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.04,-1.4062003096560404e-05,2.064238257734943e-05,-0.681219963047794,0.4957323188817647,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.05,-5.084314264340579e-05,2.7472644569475902e-05,-1.8506825040024069,0.0642152439658724,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.06,-0.000101404516627922,9.776617130200428e-05,-1.0372147674135537,0.2996357785112598,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.07,-2.4777289634258807e-08,2.954998507555474e-06,-0.0083848738234239,0.993309917032453,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_5.08,6.10551763342122e-06,1.909287583004672e-05,0.3197798847993807,0.7491351975115526,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_7.01,-7.594746406900478e-06,1.2787817873200982e-06,-5.939047992555902,2.8668239480056724e-09,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_8.01,1.1243450668784894e-05,1.3983815140564004e-06,8.040331308564063,8.959636051228554e-16,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_9.01,2.0720603155724782e-05,1.340529928413464e-06,15.457023910124793,6.7657483953939e-54,lag_vol_4per,Total Volume,2 hours,Pre,Retail
Item_1.01,5.011050292524351e-06,1.550266272041192e-06,3.2323803870972707,0.0012276353789105,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_1.02,4.394149894994121e-06,3.613318926434327e-06,1.2160979931351723,0.2239475963361982,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_1.03,0.0004701094783429494,8.754893450304593e-05,5.369676752908897,7.887797985164675e-08,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_1.04,1.3344298343339194e-05,3.904450497802205e-05,0.3417714823340859,0.7325228727846586,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_1.05,,,,,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_2.01,4.514147276576371e-06,3.0228252640828528e-06,1.493353694708515,0.1353446286858958,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_2.02,5.503350327475668e-05,7.35127401894548e-07,74.86253829326184,0.0,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_2.03,-8.748501368655746e-06,2.075428578830966e-06,-4.215274598166873,2.4947455629219687e-05,lag_vol_2per,Total Volume,1 hour,Pre,Retail
Item_2.04,-1.5005195607014518e-05,1.25275228859008e-05,-1.1977783432271545,0.2310033217993387,lag_vol_2per,Total Volume,1 hour,Pre,Retail
